,ftype,K,d,c1,c2,c3,c4,e11,e12,e21,e22,e31,e32,e41,e42,a1,lb1,ub1,lb2,ub2,rms_err,max_err,latitude
0,SMA,4,2,833.54274271,1.22536398022e-09,3.40434125098e-15,455.524519941,6.79131893313,8.97906180073,-5.51899072908,58.7674250209,-9.35042333343,12.8060153423,5.77033962635,44.9964659587,6.92081452844,0.0440961654561,0.301568599067,0.75,0.99,0.0369891925842,0.0995420906659,36
0,SMA,4,2,225.427919414,8.45026776236e-09,5.15475701335e-14,196.246602684,5.93771906294,8.34146260546,-5.03372325501,57.4822700245,-8.6303077446,12.0876239115,5.19144500381,43.2406366749,6.52297274114,0.0440961654561,0.301568599067,0.75,0.99,0.0313372956028,0.0820564085109,37
0,SMA,4,2,67.8407186743,4.6851712015e-08,8.54745150743e-13,84.8130661436,5.13258192745,7.67775608132,-4.60903715546,55.3083191539,-7.86508900934,11.2364949081,4.63223995403,41.6102044904,6.10168671709,0.0440961654561,0.301568599067,0.75,0.99,0.026434480106,0.0638529668795,38
0,SMA,4,2,35.6751544408,2.54979800669e-07,1.65478558638e-11,22.3672662038,4.05636167628,40.1252601687,-4.18210782494,51.6776090961,-7.04556024877,10.1363361425,4.33344837249,6.95109134821,5.60361269469,0.0440961654561,0.301568599067,0.75,0.99,0.022547742181,0.050640579626,39
0,SMA,4,2,16.7413419064,1.31809480371e-06,2.61993169983e-10,8.7273768262,3.56552031689,38.40607363,-3.74528705586,47.9893571028,-6.27836225245,9.04972681766,3.6278536827,6.24805102611,5.11325452887,0.0440961654561,0.301568599067,0.75,0.99,0.0196996794213,0.0486232544748,40
0,SMA,4,2,11.2217709367,8.86177976138e-06,3.41756276247e-09,3.93434892767,3.2703906852,37.3154020494,-3.19108656332,43.359395077,-5.562169784,7.84302407029,2.98737840056,5.53103745844,4.6025392869,0.0440961654561,0.301568599067,0.75,0.99,0.0179663474072,0.0449959038559,41
0,SMA,4,2,10.2654317467,6.02992871249e-05,4.03727924665e-08,2.05784351591,3.16429174203,35.8265628446,-2.61335912475,39.1849779425,-4.86971720193,6.62723785879,2.41792208522,4.79930469921,4.07365127171,0.0440961654561,0.301568599067,0.75,0.99,0.0171371735881,0.04118246885,42
0,SMA,4,2,13.7697637417,0.000427713674855,4.20666507797e-07,1.27391811424,3.31944563271,34.8938180986,-2.0056538014,36.6765154467,-4.21595415792,5.58032286084,1.9339812884,4.08999820401,3.54556096512,0.0440961654561,0.301568599067,0.75,0.99,0.0168541540988,0.0394448129871,43
0,SMA,4,2,19.9055149934,0.00191479276801,3.77362829967e-06,0.928897090809,3.54113042327,34.2238503289,-1.5358880438,34.2886045109,-3.59870136902,4.6223048384,1.53989318797,3.39249967578,3.02572582674,0.0440961654561,0.301568599067,0.75,0.99,0.0168172953276,0.03893250693,44
0,SMA,4,2,27.5443682271,0.0060957843588,2.74627343046e-05,0.783457308239,3.75252529348,34.187317005,-1.15807600415,32.5531290507,-3.03587632061,3.82837427545,1.24377228817,2.7615671914,2.54798378855,0.0440961654561,0.301568599067,0.75,0.99,0.0166645001305,0.0377437942087,45
